"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2023 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2023 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
1805,,155576,WATERS OF HARTFORD CITY SKILLED NURSING FACILITY,0548 S 100 W,HARTFORD CITY,IN,47348,0.17798,,0.18398,,63.75166,,0.00000,,63.75166,,1.0105892285,
7099,,155578,MILLER'S MERRY MANOR,220 E DUNN RD,NEW CARLISLE,IN,46552,0.19453,,0.22495,,0.00000,,0.00000,,0.00000,,0.9802564842,
6510,,155580,APERION CARE TOLLESTON PARK,2350 TAFT ST,GARY,IN,46404,0.20578,,0.20604,,11.13040,,0.00000,,11.13040,,0.9807701015,
7099,,155581,"WATERS OF SYRACUSE SKILLED NURSING FACILITY, THE",500 E PICKWICK DR,SYRACUSE,IN,46567,0.18676,,0.21392,,0.00000,,0.00000,,0.00000,,0.9802564842,
4060,,155582,"WATERS OF WAKARUSA SKILLED NURSING FACILITY, THE",300 N WASHINGTON ST,WAKARUSA,IN,46573,0.18025,,0.19508,,37.27405,,0.00000,,37.27405,,0.9883853923,
3526,,155583,MILLER'S MERRY MANOR,1367 S RANDOLPH ST,GARRETT,IN,46738,0.22873,,0.20072,,23.82057,,43.41832,,43.41832,,0.9930736410,
7099,,155586,LUTHERAN LIFE VILLAGES,6701 S ANTHONY BLVD,FORT WAYNE,IN,46816,0.17796,,0.21209,,0.00000,,0.00000,,0.00000,,0.9802564842,
1599,,155589,MILLER'S MERRY MANOR,730 SCHOOL ST,CULVER,IN,46511,0.22800,,0.18705,,56.42857,,66.69118,,66.69118,,1.0122464563,
7099,,155593,COMPASS PARK,800 FREEMASON PARKWAY,FRANKLIN,IN,46131,0.22134,,0.22238,,0.00000,,0.00000,,0.00000,,0.9802564842,
6284,,155596,LAKELAND REHAB AND HEALTHCARE CENTER,500 N WILLIAMS ST,ANGOLA,IN,46703,0.18283,,0.20506,,13.46806,,0.00000,,13.46806,,0.9809677854,
2306,,155600,MULBERRY HEALTH & REHABILITATION CENTER,502 W JACKSON ST,MULBERRY,IN,46058,0.16197,,0.18676,,57.12033,,0.00000,,57.12033,,1.0057083986,
6667,,155604,SAINT ANTHONY REHAB AND NURSING CENTER,1205 N 14TH ST,LAFAYETTE,IN,47904,0.17859,,0.20687,,9.15054,,0.00000,,9.15054,,0.9806340658,
1446,,155605,GRAND VALLEY HEALTH & REHAB,621 GRAND VALLEY BOULEVARD,MARTINSVILLE,IN,46151,0.18365,,0.18173,,69.11874,,10.03524,,69.11874,,1.0133873582,
7099,,155606,WESTSIDE RETIREMENT VILLAGE,8616 W 10TH ST,INDIANAPOLIS,IN,46234,0.20764,,0.20984,,0.00000,,0.00000,,0.00000,,0.9802564842,
6767,,155607,BETHEL MANOR,6015 KRATZVILLE RD,EVANSVILLE,IN,47710,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20745,,7.76703,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",7.76703,,0.9805533227,
1,,155611,HOOSIER CHRISTIAN VILLAGE,621 S SUGAR ST,BROWNSTOWN,IN,47220,0.16165,,0.16677,,100.00000,,0.00000,,100.00000,,1.0180656313,
7099,,155614,LINCOLN HILLS OF NEW ALBANY,326 COUNTRY CLUB DRIVE,NEW ALBANY,IN,47150,0.22142,,0.22502,,0.00000,,0.00000,,0.00000,,0.9802564842,
1,,155618,MAJESTIC CARE OF CARMEL,12999 N PENNSYLVANIA ST,CARMEL,IN,46032,0.20313,,0.15605,,100.00000,,90.00000,,100.00000,,1.0180656313,
4339,,155621,RIVER BEND NURSING AND REHABILITATION,3400 STOCKER DR,EVANSVILLE,IN,47720,0.22045,,0.20099,,23.17652,,34.25762,,34.25762,,0.9865765735,
3829,,155628,CREEKSIDE HEALTH AND REHABILITATION CENTER,3114 EAST 46TH STREET,INDIANAPOLIS,IN,46205,0.20890,,0.19398,,39.89796,,34.24250,,39.89796,,0.9902297022,
2608,,155630,FLATROCK RIVER LODGE,904 E 11TH ST,RUSHVILLE,IN,46173,0.21404,,0.18871,,52.46886,,53.68860,,53.68860,,1.0026554024,
7099,,155631,WHITE RIVER LODGE,3710 KENNY SIMPSON LN,BEDFORD,IN,47421,0.17606,,0.21111,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155635,GRACE VILLAGE HEALTH CARE FACILITY,337 GRACE VILLAGE DR,WINONA LAKE,IN,46590,0.19084,,0.21581,,0.00000,,0.00000,,0.00000,,0.9802564842,
1608,,155637,CROWN POINT CHRISTIAN VILLAGE,6685 EAST 117TH AVENUE,CROWN POINT,IN,46307,0.22337,,0.18582,,59.36258,,66.53744,,66.53744,,1.0121674444,
962,,155649,MCCORMICK'S CREEK REHABILITATION AND HEALTHCARE,210 STATE HWY 43,SPENCER,IN,47460,0.18595,,0.17763,,78.89875,,50.20902,,78.89875,,1.0163042135,
5575,,155650,LINCOLNSHIRE HEALTH & REHABILITATION CENTER,8380 VIRGINIA ST,MERRILLVILLE,IN,46410,0.22935,,0.21412,,0.00000,,21.04755,,21.04755,,0.9820076611,
4938,,155651,HOMEVIEW CENTER OF FRANKLIN,651 SOUTH STATE STREET,FRANKLIN,IN,46131,0.19798,,0.19903,,27.85184,,0.00000,,27.85184,,0.9837719651,
2013,,155655,PEABODY RETIREMENT COMMUNITY,400 W SEVENTH ST,NORTH MANCHESTER,IN,46962,0.19082,,0.18507,,61.15160,,23.83651,,61.15160,,1.0088599985,
2925,,155657,HARRISON HEALTHCARE CENTER,150 BEECHMONT DR,CORYDON,IN,47112,0.20186,,0.18968,,50.15505,,34.31569,,50.15505,,0.9993096000,
7026,,155658,WESLEY MANOR HEALTH CENTER,1555 N MAIN ST,FRANKFORT,IN,46041,0.22799,,0.22320,,0.00000,,3.38732,,3.38732,,0.9803589218,
7099,,155659,SELLERSBURG HEALTHCARE CENTER,7823 OLD STATE ROAD 60,SELLERSBURG,IN,47172,0.20846,,0.22010,,0.00000,,0.00000,,0.00000,,0.9802564842,
5005,,155660,PULASKI HEALTH CARE CENTER,624 E 13TH ST,WINAMAC,IN,46996,0.19331,,0.19935,,27.08852,,0.00000,,27.08852,,0.9835202224,
1525,,155661,OWEN VALLEY REHABILITATION AND HEALTHCARE CENTER,920 W HIGHWAY 46,SPENCER,IN,47460,0.17308,,0.18228,,67.80679,,0.00000,,67.80679,,1.0127953241,
7099,,155662,REHABILITATION CENTER AT HARTSFIELD VILLAGE,503 OTIS R BOWEN DR,MUNSTER,IN,46321,0.19018,,0.21078,,0.00000,,0.00000,,0.00000,,0.9802564842,
2141,,155665,MAJESTIC CARE OF NORTH VERNON,701 HENRY STREET,NORTH VERNON,IN,47265,0.19308,,0.18577,,59.48184,,27.92793,,59.48184,,1.0076206615,
7099,,155666,AUBURN VILLAGE,1751 WESLEY ROAD,AUBURN,IN,46706,0.20069,,0.21233,,0.00000,,0.00000,,0.00000,,0.9802564842,
495,,155667,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,221 W DIVISION ST,DEMOTTE,IN,46310,0.16876,,0.17160,,93.28253,,0.00000,,93.28253,,1.0178232060,
7099,,155668,CHARLESTOWN PLACE AT NEW ALBANY,4915 CHARLESTOWN RD,NEW ALBANY,IN,47150,0.20428,,0.23495,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155670,MAJESTIC CARE OF NEWBURGH,5233 ROSEBUD LANE,NEWBURGH,IN,47630,0.18809,,0.23131,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155671,OAKWOOD HEALTH CAMPUS,1143 23RD ST,TELL CITY,IN,47586,0.19332,,0.21266,,0.00000,,0.00000,,0.00000,,0.9802564842,
4124,,155672,HAMILTON GROVE,31869 CHICAGO TRAIL,NEW CARLISLE,IN,46552,0.19615,,0.19534,,36.65386,,0.00000,,36.65386,,0.9879862185,
7099,,155673,MARKLE HEALTH & REHABILITATION,170 N TRACY ST,MARKLE,IN,46770,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.21963,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802564842,
7099,,155674,ST CHARLES HEALTH CAMPUS,3150 ST CHARLES ST,JASPER,IN,47546,0.16934,,0.21631,,0.00000,,0.00000,,0.00000,,0.9802564842,
2879,,155675,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,950 N LAKEVIEW DR,GREENSBURG,IN,47240,0.22526,,0.19496,,37.56030,,50.71901,,50.71901,,0.9998496149,
822,,155677,BELL TRACE HEALTH AND LIVING CENTER,725 BELL TRACE CIRCLE,BLOOMINGTON,IN,47408,0.19384,,0.17624,,82.21442,,71.65505,,82.21442,,1.0168518203,
7099,,155678,WATERFORD PLACE HEALTH CAMPUS,800 ST JOSEPH DR,KOKOMO,IN,46901,0.18563,,0.21247,,0.00000,,0.00000,,0.00000,,0.9802564842,
4168,,155680,HOMEWOOD HEALTH CAMPUS,2494 N LEBANON ST,LEBANON,IN,46052,0.19664,,0.19563,,35.96210,,0.00000,,35.96210,,0.9875577102,
7012,,155681,AUTUMN WOODS HEALTH CAMPUS,2911 GREEN VALLEY RD,NEW ALBANY,IN,47150,0.22629,,0.22118,,0.00000,,4.22216,,4.22216,,0.9803898544,
7099,,155682,WOODMONT HEALTH CAMPUS,1325 ROCKPORT RD,BOONVILLE,IN,47601,0.20935,,0.21261,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155684,SOUTHFIELD VILLAGE,6450 MIAMI CIR,SOUTH BEND,IN,46614,0.21052,,0.21102,,0.00000,,0.00000,,0.00000,,0.9802564842,
6289,,155685,BRICKYARD HEALTHCARE - ELKHART CARE CENTER,1001 W HIVELY AVE,ELKHART,IN,46517,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20509,,13.39650,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",13.39650,,0.9809610576,
5329,,155686,BRICKYARD HEALTHCARE - KNOX CARE CENTER,300 E CULVER RD,KNOX,IN,46534,0.19613,,0.20083,,23.55818,,0.00000,,23.55818,,0.9825426143,
2358,,155687,BRICKYARD HEALTHCARE - MUNCIE CARE CENTER,2701 LYN-MAR DR,MUNCIE,IN,47304,0.19532,,0.18700,,56.54784,,29.04255,,56.54784,,1.0052193134,
1542,,155689,MAJESTIC CARE OF GOSHEN,2400 COLLEGE AVE,GOSHEN,IN,46526,0.17479,,0.18239,,67.54439,,0.00000,,67.54439,,1.0126700584,
3999,,155691,MORRISTOWN MANOR,868 S WASHINGTON ST,MORRISTOWN,IN,46161,0.18296,,0.19487,,37.77498,,0.00000,,37.77498,,0.9887181451,
6163,,155692,HERITAGE POINTE OF HUNTINGTON,1180 WEST 500 NORTH,HUNTINGTON,IN,46750,0.22195,,0.21186,,0.00000,,14.75720,,14.75720,,0.9810971323,
5146,,155693,SILVER OAKS HEALTH CAMPUS,2011 CHAPA STREET,COLUMBUS,IN,47203,0.21012,,0.19996,,25.63345,,20.89195,,25.63345,,0.9830818616,
3476,,155694,BETZ NURSING HOME,116 BETZ RD,AUBURN,IN,46706,0.19915,,0.19230,,43.90538,,19.23063,,43.90538,,0.9934963570,
1062,,155696,BRIDGEPOINTE HEALTH CAMPUS,1900 COLLEGE AVE,VINCENNES,IN,47591,0.22643,,0.18105,,70.74079,,76.69217,,76.69217,,1.0158382899,
7099,,155697,CLARK REHABILITATION AND SKILLED NURSING CENTER,517 N LITTLE LEAGUE BLVD,CLARKSVILLE,IN,47129,0.19379,,0.21092,,0.00000,,0.00000,,0.00000,,0.9802564842,
3459,,155698,BETHANY POINTE HEALTH CAMPUS,1707 BETHANY RD,ANDERSON,IN,46012,0.23369,,0.20279,,18.88285,,44.19599,,44.19599,,0.9937515187,
2044,,155701,CHRISTIAN CARE RETIREMENT COMMUNITY,720 E DUSTMAN RD,BLUFFTON,IN,46714,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.18530,,60.60297,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",60.60297,,1.0084636467,
1917,,155702,APERION CARE PERU,1850 WEST MATADOR ST,PERU,IN,46970,0.17068,,0.18460,,62.27273,,0.00000,,62.27273,,1.0096360586,
5024,,155703,BROOKSIDE VILLAGE INC,1111 CHURCH AVE,JASPER,IN,47546,0.20565,,0.19945,,26.84999,,12.83146,,26.84999,,0.9834447043,
7099,,155705,HERITAGE POINTE OF WARREN,801 N HUNTINGTON AVE,WARREN,IN,46792,0.19046,,0.22215,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155707,SWISS VILLAGE,1350 W MAIN ST,BERNE,IN,46711,0.15810,,0.20928,,0.00000,,0.00000,,0.00000,,0.9802564842,
2315,,155712,COVERED BRIDGE HEALTH CAMPUS,1675 W TIPTON ST,SEYMOUR,IN,47274,0.17057,,0.18682,,56.97721,,0.00000,,56.97721,,1.0055869951,
1205,,155715,LUTHERAN COMMUNITY HOME,111 W CHURCH AVE,SEYMOUR,IN,47274,0.19300,,0.17977,,73.79406,,54.81013,,73.79406,,1.0150740630,
4529,,155716,ENVIVE OF EVANSVILLE,601 N BOEKE RD,EVANSVILLE,IN,47711,0.18932,,0.19722,,32.16936,,0.00000,,32.16936,,0.9855155189,
7099,,155718,NORTHVIEW HEALTH AND LIVING,1235 W CROSS ST,ANDERSON,IN,46011,0.20846,,0.21850,,0.00000,,0.00000,,0.00000,,0.9802564842,
1,,155723,RIVER POINTE HEALTH CAMPUS,3001 GALAXY DR,EVANSVILLE,IN,47715,0.19799,,0.16068,,100.00000,,90.00000,,100.00000,,1.0180656313,
1,,155724,WOODBRIDGE HEALTH CAMPUS,602 WOODBRIDGE AVE,LOGANSPORT,IN,46947,0.19092,,0.16465,,100.00000,,90.00000,,100.00000,,1.0180656313,
7099,,155725,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,1750 LINDBERG RD,WEST LAFAYETTE,IN,47906,0.19966,,0.20940,,0.00000,,0.00000,,0.00000,,0.9802564842,
6671,,155727,STONEBRIDGE HEALTH CAMPUS,3100 SHAWNEE DR S,BEDFORD,IN,47421,0.21140,,0.20689,,9.10284,,6.13031,,9.10284,,0.9806310977,
2590,,155728,MANDERLEY HEALTH CARE CENTER,806 S BUCKEYE ST,OSGOOD,IN,47037,0.19836,,0.18810,,53.92393,,32.33624,,53.92393,,1.0028728884,
1817,,155730,RIPLEY CROSSING,1200 WHITLATCH WAY,MILAN,IN,47031,0.23715,,0.19169,,45.36046,,63.59816,,63.59816,,1.0104940484,
852,,155732,RIVEROAKS HEALTH CAMPUS,1244 VAIL ST,PRINCETON,IN,47670,0.21353,,0.17668,,81.16486,,81.40094,,81.40094,,1.0167323843,
990,,155734,THORNTON TERRACE HEALTH CAMPUS,188 THORNTON RD,HANOVER,IN,47243,0.21201,,0.17785,,78.37397,,78.05373,,78.37397,,1.0162015063,
7099,,155735,ASHFORD PLACE HEALTH CAMPUS,2200 N RILEY HWY,SHELBYVILLE,IN,46176,0.20292,,0.22043,,0.00000,,0.00000,,0.00000,,0.9802564842,
2641,,155736,MILL POND HEALTH CAMPUS,1014 MILL POND LANE,GREENCASTLE,IN,46135,0.19768,,0.18833,,53.37530,,29.88806,,53.37530,,1.0023644173,
4545,,155740,TIMBERCREST CHURCH OF THE BRETHREN HOME,2201 EAST ST,NORTH MANCHESTER,IN,46962,0.18279,,0.19730,,31.97853,,0.00000,,31.97853,,0.9854260258,
6565,,155742,ST ANDREWS HEALTH CAMPUS,1400 LAMMERS PIKE,BATESVILLE,IN,47006,0.19463,,0.20628,,10.55791,,0.00000,,10.55791,,0.9807280664,
536,,155744,LUTHERAN LIFE VILLAGES,351 N ALLEN CHAPEL RD,KENDALLVILLE,IN,46755,0.18849,,0.17253,,91.06414,,85.63032,,91.06414,,1.0177012989,
7053,,155745,HOLY CROSS VILLAGE AT NOTRE DAME INC,54515 STATE ROAD 933 NORTH,NOTRE DAME,IN,46556,0.21173,,0.20903,,0.00000,,1.60955,,1.60955,,0.9803009228,
764,,155747,ADAMS WOODCREST,1300 MERCER AVE,DECATUR,IN,46733,0.19811,,0.17561,,83.71720,,77.62945,,83.71720,,1.0170501636,
5842,,155751,MEADOW LAKES,200 MEADOW LAKE DR,MOORESVILLE,IN,46158,0.19700,,0.20303,,18.31036,,0.00000,,18.31036,,0.9815463175,
1122,,155753,HAMPTON OAKS HEALTH CAMPUS,966 N WILSON RD,SCOTTSBURG,IN,47170,0.18474,,0.17910,,75.39226,,35.69264,,75.39226,,1.0155187137,
2881,,155754,HUBBARD HILL ESTATES INC,28070 CR 24,ELKHART,IN,46517,0.19366,,0.18946,,50.67983,,13.43723,,50.67983,,0.9998121205,
7099,,155755,GOLDEN YEARS HOMESTEAD,3136 GOEGLEIN RD,FORT WAYNE,IN,46815,0.18992,,0.22032,,0.00000,,0.00000,,0.00000,,0.9802564842,
5673,,155756,COVENTRY MEADOWS,7843 W JEFFERSON BLVD,FORT WAYNE,IN,46804,0.18356,,0.20227,,20.12324,,0.00000,,20.12324,,0.9818389160,
7099,,155757,ROSEGATE VILLAGE,7510 ROSEGATE DR,INDIANAPOLIS,IN,46237,0.21150,,0.22942,,0.00000,,0.00000,,0.00000,,0.9802564842,
5593,,155759,GLEN OAKS HEALTH CAMPUS,601 W CR 200 S,NEW CASTLE,IN,47362,0.22172,,0.20858,,5.07156,,20.84579,,20.84579,,0.9819696224,
1,,155760,WATERFORD CROSSING,1332 WATERFORD CIR,GOSHEN,IN,46526,0.20933,,0.16832,,100.00000,,90.00000,,100.00000,,1.0180656313,
3568,,155761,BROWNSBURG MEADOWS,2 E TILDEN,BROWNSBURG,IN,46112,0.17883,,0.19268,,42.99894,,0.00000,,42.99894,,0.9927148458,
2229,,155762,FOREST PARK HEALTH CAMPUS,2401 SOUTH L ST,RICHMOND,IN,47374,0.19980,,0.18636,,58.07448,,41.47303,,58.07448,,1.0065022472,
7099,,155764,SPRING MILL HEALTH CAMPUS,101 W 87TH AVE,MERRILLVILLE,IN,46410,0.21739,,0.24754,,0.00000,,0.00000,,0.00000,,0.9802564842,
3392,,155767,SPRINGHURST HEALTH CAMPUS,628 N MERIDIAN RD,GREENFIELD,IN,46140,0.18087,,0.19188,,44.90724,,0.00000,,44.90724,,0.9943847104,
4761,,155768,EVANSVILLE PROTESTANT HOME,3701 WASHINGTON AVE,EVANSVILLE,IN,47714,0.20083,,0.19830,,29.59316,,3.44741,,29.59316,,0.9844069330,
7099,,155769,MORRISON WOODS HEALTH CAMPUS,4100 N MORRISON RD,MUNCIE,IN,47304,0.16750,,0.26842,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155770,VILLAS OF GUERIN WOODS,1002 SISTER BARBARA WAY,GEORGETOWN,IN,47122,0.20973,,0.24341,,0.00000,,0.00000,,0.00000,,0.9802564842,
2949,,155771,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,1070 W JEFFERSON ST,FRANKLIN,IN,46131,0.19044,,0.18981,,49.84495,,0.00000,,49.84495,,0.9990125156,
7099,,155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,1850 E HOWARD WAYNE DR,TERRE HAUTE,IN,47802,0.21734,,0.25104,,0.00000,,0.00000,,0.00000,,0.9802564842,
3737,,155773,TERRACE AT SOLARBRON THE,1701 MCDOWELL RD,EVANSVILLE,IN,47712,0.21066,,0.19354,,40.94752,,38.03670,,40.94752,,0.9910357447,
5370,,155775,CUMBERLAND POINTE HEALTH CAMPUS,1051 CUMBERLAND AVE,WEST LAFAYETTE,IN,47906,0.22130,,0.20710,,8.60191,,23.16343,,23.16343,,0.9824504930,
1294,,155776,SPRINGHILL VILLAGE,1001 E SPRINGHILL DR,TERRE HAUTE,IN,47802,0.20204,,0.18045,,72.17201,,64.28755,,72.17201,,1.0145582546,
1,,155777,CREASY SPRINGS HEALTH CAMPUS,1750 S CREASY LN,LAFAYETTE,IN,47905,0.19710,,0.16107,,100.00000,,90.00000,,100.00000,,1.0180656313,
2816,,155779,PRAIRIE LAKES HEALTH CAMPUS,9730 PRAIRIE LAKES BLVD EAST,NOBLESVILLE,IN,46060,0.17668,,0.18914,,51.44315,,0.00000,,51.44315,,1.0005412759,
3605,,155782,WHITE OAK HEALTH CAMPUS,814 S 6TH ST,MONTICELLO,IN,47960,0.17428,,0.19287,,42.54572,,0.00000,,42.54572,,0.9923327589,
5158,,155783,GREENLEAF HEALTH CAMPUS,1201 E BEARDSLEY AVE,ELKHART,IN,46514,0.21069,,0.20002,,25.49033,,21.80231,,25.49033,,0.9830415433,
1,,155784,CREEKSIDE VILLAGE,1420 E DOUGLAS RD,MISHAWAKA,IN,46545,0.15467,,0.15683,,100.00000,,0.00000,,100.00000,,1.0180656313,
3357,,155785,WEST RIVER HEALTH CAMPUS,714 S EICKHOFF RD,EVANSVILLE,IN,47712,0.20521,,0.19174,,45.24119,,34.23682,,45.24119,,0.9946859995,
3078,,155786,ALLISONVILLE MEADOWS,10312 ALLISONVILLE RD,FISHERS,IN,46038,0.21767,,0.19266,,43.04665,,48.45159,,48.45159,,0.9976805580,
861,,155788,GREENWOOD MEADOWS,1200 N STATE ROAD 135,GREENWOOD,IN,46142,0.19868,,0.17667,,81.18871,,74.17266,,81.18871,,1.0166997287,
5518,,155789,RIDGEWOOD HEALTH CAMPUS,181 CAMPUS DR,LAWRENCEBURG,IN,47025,0.21908,,0.20615,,10.86801,,21.82573,,21.82573,,0.9821609713,
7099,,155790,BRIDGEWATER HEALTHCARE CENTER,14751 CAREY ROAD,CARMEL,IN,46033,0.18838,,0.21278,,0.00000,,0.00000,,0.00000,,0.9802564842,
561,,155791,BLAIR RIDGE HEALTH CAMPUS,269 MEADOWVIEW DR,PERU,IN,46970,0.19359,,0.17293,,90.10999,,85.97314,,90.10999,,1.0176402516,
822,,155792,COUNTRYSIDE MEADOWS,762 N DAN JONES RD,AVON,IN,46123,0.17782,,0.17624,,82.21442,,17.76657,,82.21442,,1.0168518203,
3072,,155793,HAMILTON TRACE OF FISHERS,11851 CUMBERLAND RD,FISHERS,IN,46037,0.20650,,0.19037,,48.50914,,40.28355,,48.50914,,0.9977353785,
7099,,155794,"RETREAT AT THE STRATFORD, THE",2460 GLEBE ST,CARMEL,IN,46032,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.21070,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802564842,
7099,,155795,AVALON SPRINGS HEALTH CAMPUS,2400 SILHAVY ROAD,VALPARAISO,IN,46383,0.18299,,0.22584,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155797,ASPEN PLACE HEALTH CAMPUS,2320 N MONTGOMERY ROAD,GREENSBURG,IN,47240,0.20934,,0.22284,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155798,ASHTON CREEK HEALTH AND REHABILITATION CENTER,4111 PARK PLACE DRIVE,FORT WAYNE,IN,46845,0.20026,,0.22437,,0.00000,,0.00000,,0.00000,,0.9802564842,
2534,,155799,APERION CARE MARION LLC,614 WEST 14TH STREET,MARION,IN,46953,0.20190,,0.18783,,54.56798,,40.35783,,54.56798,,1.0034628827,
5912,,155800,LUTHERAN LIFE VILLAGES,9802 COLDWATER ROAD,FORT WAYNE,IN,46825,0.19059,,0.20336,,17.52319,,0.00000,,17.52319,,0.9814336423,
7099,,155802,PROVIDENCE HEALTH CARE CENTER,1 SISTERS OF PROVIDENCE,ST MARY OF THE WOODS,IN,47876,0.20409,,0.25064,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,155803,HAMILTON POINTE HEALTH AND REHAB,3800 ELI PLACE,NEWBURGH,IN,47630,0.19899,,0.24013,,0.00000,,0.00000,,0.00000,,0.9802564842,
3270,,155805,ADDISON POINTE HEALTH & REHABILITATION CENTER,780 DICKINSON ROAD,CHESTERTON,IN,46304,0.25393,,0.21140,,0.00000,,46.21011,,46.21011,,0.9955729913,
3611,,155806,WELLBROOKE OF WABASH,20 JOHN KISSINGER DRIVE,WABASH,IN,46992,0.18482,,0.19289,,42.49801,,0.00000,,42.49801,,0.9922928912,
4484,,155808,WELLBROOKE OF WESTFIELD,937 E 186TH STREET,WESTFIELD,IN,46074,0.21286,,0.19702,,32.64644,,32.73225,,32.73225,,0.9857866625,
5684,,155809,GREY STONE HEALTH & REHABILITATION CENTER,10445 DUPONT OAKS BLVD,FORT WAYNE,IN,46845,0.19508,,0.20232,,20.00398,,0.00000,,20.00398,,0.9818181482,
7099,,155811,WELLBROOKE OF AVON,"10307 E COUNTY RD 100 N,",INDIANAPOLIS,IN,46234,0.20439,,0.22019,,0.00000,,0.00000,,0.00000,,0.9802564842,
5709,,155812,WELLBROOKE OF CRAWFORDSVILLE,517 CONCORD ROAD,CRAWFORDSVILLE,IN,47933,0.17821,,0.20243,,19.74158,,0.00000,,19.74158,,0.9817732409,
4981,,155813,VILLAGES AT HISTORIC SILVERCREST THE,1 SILVERCREST DRIVE,NEW ALBANY,IN,47150,0.19234,,0.19920,,27.44633,,0.00000,,27.44633,,0.9836362903,
1628,,155814,BROOKE KNOLL VILLAGE,1108 KINGWOOD DRIVE,AVON,IN,46123,0.17898,,0.18292,,66.28015,,0.00000,,66.28015,,1.0120333610,
7099,,155815,CLEARVISTA LAKE HEALTH CAMPUS,8405 CLEARVISTA PLACE,INDIANAPOLIS,IN,46256,0.20922,,0.21765,,0.00000,,0.00000,,0.00000,,0.9802564842,
5636,,155816,ARLINGTON PLACE HEALTH CAMPUS,1635 N ARLINGTON AVE,INDIANAPOLIS,IN,46218,0.17341,,0.20213,,20.45720,,0.00000,,20.45720,,0.9818982705,
7099,,155817,"BARRINGTON OF CARMEL, THE",1335 S GUILFORD ROAD,CARMEL,IN,46032,0.18633,,0.22745,,0.00000,,0.00000,,0.00000,,0.9802564842,
1697,,155818,HEARTHSTONE HEALTH CAMPUS,3043 NORTH LINTEL DRIVE,BLOOMINGTON,IN,47404,0.21438,,0.18382,,64.13332,,65.25287,,65.25287,,1.0114745571,
1827,,155819,WELLBROOKE OF KOKOMO,2200 SOUTH DIXON ROAD,KOKOMO,IN,46902,0.16954,,0.18411,,63.44156,,0.00000,,63.44156,,1.0103960496,
5839,,155821,ASPEN TRACE HEALTH & LIVING COMMUNITY,3154 SOUTH STATE ROAD 135,GREENWOOD,IN,46143,0.20795,,0.20301,,18.35807,,8.32614,,18.35807,,0.9815534124,
6561,,155822,CEDAR CREEK HEALTH CAMPUS,18275 BURR STREET,LOWELL,IN,46356,0.20148,,0.20625,,10.62947,,0.00000,,10.62947,,0.9807331951,
